Date,Open,High,Low,Close,Adj Close,Volume,Returns
27/12/1989,10,10,10,10,7.560036,0,
28/12/1989,9.82,9.82,9.82,9.82,7.423954,0,-1.816415274
29/12/1989,9.89,9.89,9.89,9.89,7.476876,0,0.710325834
02/01/1990,9.95,9.95,9.95,9.95,7.522234,0,0.604811062
03/01/1990,10.01,10.01,10.01,10.01,7.567599,0,0.601267578
04/01/1990,10.05,10.05,10.05,10.05,7.597838,0,0.398788905
05/01/1990,10.09,10.09,10.09,10.09,7.628074,0,0.397165565
08/01/1990,10.13,10.13,10.13,10.13,7.658318,0,0.39569886
09/01/1990,10.18,10.18,10.18,10.18,7.696116,0,0.492340862
10/01/1990,10.1,10.1,10.1,10.1,7.635638,0,-0.788928829
11/01/1990,10.22,10.22,10.22,10.22,7.726357,0,1.181097307
12/01/1990,10.08,10.08,10.08,10.08,7.620515,0,-1.379351807
15/01/1990,10.02,10.02,10.02,10.02,7.575158,0,-0.596974345
16/01/1990,10.04,10.04,10.04,10.04,7.590276,0,0.199374512
17/01/1990,10.07,10.07,10.07,10.07,7.612955,0,0.298344698
18/01/1990,10.02,10.02,10.02,10.02,7.575158,0,-0.49771921
19/01/1990,10.05,10.05,10.05,10.05,7.597838,0,0.298952387
22/01/1990,9.87,9.87,9.87,9.87,7.461754,0,-1.807322592
23/01/1990,9.96,9.96,9.96,9.96,7.529794,0,0.907717698
24/01/1990,9.89,9.89,9.89,9.89,7.476876,0,-0.705262651
25/01/1990,9.87,9.87,9.87,9.87,7.461754,0,-0.202455047
26/01/1990,9.85,9.85,9.85,9.85,7.446638,0,-0.202785185
29/01/1990,9.83,9.83,9.83,9.83,7.431516,0,-0.203277977
30/01/1990,9.81,9.81,9.81,9.81,7.416396,0,-0.203665071
31/01/1990,9.83,9.83,9.83,9.83,7.431516,0,0.203665071
01/02/1990,9.87,9.87,9.87,9.87,7.461754,0,0.406063162
02/02/1990,9.92,9.92,9.92,9.92,7.499557,0,0.505344491
05/02/1990,9.93,9.93,9.93,9.93,7.507113,0,0.100701896
06/02/1990,9.9,9.9,9.9,9.9,7.484436,0,-0.302530676
07/02/1990,9.95,9.95,9.95,9.95,7.522234,0,0.503750398
08/02/1990,9.95,9.95,9.95,9.95,7.522234,0,0
09/02/1990,9.95,9.95,9.95,9.95,7.522234,0,0
12/02/1990,9.92,9.92,9.92,9.92,7.499557,0,-0.301921618
13/02/1990,9.94,9.94,9.94,9.94,7.514678,0,0.201422252
14/02/1990,9.97,9.97,9.97,9.97,7.537357,0,0.301341542
15/02/1990,10.07,10.07,10.07,10.07,7.612955,0,0.99798113
16/02/1990,10.09,10.09,10.09,10.09,7.628074,0,0.198398743
20/02/1990,10.04,10.04,10.04,10.04,7.590276,0,-0.496743441
21/02/1990,10.02,10.02,10.02,10.02,7.575158,0,-0.199374512
22/02/1990,10.03,10.03,10.03,10.03,7.582712,0,0.099671004
23/02/1990,9.99,9.99,9.99,9.99,7.552474,0,-0.39957276
26/02/1990,10.01,10.01,10.01,10.01,7.567599,0,0.200065238
27/02/1990,10.01,10.01,10.01,10.01,7.567599,0,0
28/02/1990,10.02,10.02,10.02,10.02,7.575158,0,0.099836518
01/03/1990,9.98,9.98,9.98,9.98,7.544917,0,-0.400011777
02/03/1990,10.04,10.04,10.04,10.04,7.590276,0,0.599386289
05/03/1990,9.99,9.99,9.99,9.99,7.552474,0,-0.499276268
06/03/1990,9.99,9.99,9.99,9.99,7.552474,0,0
07/03/1990,10.06,10.06,10.06,10.06,7.605398,0,0.698306663
08/03/1990,10.11,10.11,10.11,10.11,7.643199,0,0.495797449
09/03/1990,10.06,10.06,10.06,10.06,7.605398,0,-0.495797449
12/03/1990,10.04,10.04,10.04,10.04,7.590276,0,-0.199030395
13/03/1990,10.09,10.09,10.09,10.09,7.628074,0,0.496743441
14/03/1990,10.12,10.12,10.12,10.12,7.650754,0,0.296881628
15/03/1990,10.1,10.1,10.1,10.1,7.635638,0,-0.197770735
16/03/1990,10.14,10.14,10.14,10.14,7.665878,0,0.395255468
19/03/1990,10.1,10.1,10.1,10.1,7.635638,0,-0.395255468
20/03/1990,10.09,10.09,10.09,10.09,7.628074,0,-0.099110893
21/03/1990,10.1,10.1,10.1,10.1,7.635638,0,0.099110893
22/03/1990,10.03,10.03,10.03,10.03,7.582712,0,-0.695557841
23/03/1990,10.12,10.12,10.12,10.12,7.650754,0,0.893328577
26/03/1990,10.13,10.13,10.13,10.13,7.658318,0,0.098817232
27/03/1990,10.1,10.1,10.1,10.1,7.635638,0,-0.296587967
28/03/1990,10.09,10.09,10.09,10.09,7.628074,0,-0.099110893
29/03/1990,10.1,10.1,10.1,10.1,7.635638,0,0.099110893
30/03/1990,10.12,10.12,10.12,10.12,7.650754,0,0.197770735
02/04/1990,10.06,10.06,10.06,10.06,7.605398,0,-0.594594674
03/04/1990,10.09,10.09,10.09,10.09,7.628074,0,0.297713046
04/04/1990,10.09,10.09,10.09,10.09,7.628074,0,0
05/04/1990,10.05,10.05,10.05,10.05,7.597838,0,-0.397165565
06/04/1990,10,10,10,10,7.560036,0,-0.498778105
09/04/1990,10.02,10.02,10.02,10.02,7.575158,0,0.199825718
10/04/1990,10.02,10.02,10.02,10.02,7.575158,0,0
11/04/1990,10.01,10.01,10.01,10.01,7.567599,0,-0.099836518
12/04/1990,10.02,10.02,10.02,10.02,7.575158,0,0.099836518
16/04/1990,10,10,10,10,7.560036,0,-0.199825718
17/04/1990,9.97,9.97,9.97,9.97,7.537357,0,-0.300436202
18/04/1990,9.96,9.96,9.96,9.96,7.529794,0,-0.100390587
19/04/1990,9.92,9.92,9.92,9.92,7.499557,0,-0.402373207
20/04/1990,9.91,9.91,9.91,9.91,7.491993,0,-0.100910188
23/04/1990,9.82,9.82,9.82,9.82,7.423954,0,-0.912305091
24/04/1990,9.82,9.82,9.82,9.82,7.423954,0,0
25/04/1990,9.84,9.84,9.84,9.84,7.439077,0,0.203498267
26/04/1990,9.83,9.83,9.83,9.83,7.431516,0,-0.101690641
27/04/1990,9.76,9.76,9.76,9.76,7.378596,0,-0.714649899
30/04/1990,9.74,9.74,9.74,9.74,7.363478,0,-0.205100114
01/05/1990,9.74,9.74,9.74,9.74,7.363478,0,0
02/05/1990,9.77,9.77,9.77,9.77,7.386155,0,0.307492639
03/05/1990,9.82,9.82,9.82,9.82,7.423954,0,0.510449749
04/05/1990,9.89,9.89,9.89,9.89,7.476876,0,0.710325834
07/05/1990,9.9,9.9,9.9,9.9,7.484436,0,0.101060664
08/05/1990,9.95,9.95,9.95,9.95,7.522234,0,0.503750398
09/05/1990,9.96,9.96,9.96,9.96,7.529794,0,0.100451589
10/05/1990,10,10,10,10,7.560036,0,0.400826788
11/05/1990,10.09,10.09,10.09,10.09,7.628074,0,0.895943671
14/05/1990,10.12,10.12,10.12,10.12,7.650754,0,0.296881628
15/05/1990,10.13,10.13,10.13,10.13,7.658318,0,0.098817232
16/05/1990,10.19,10.19,10.19,10.19,7.703676,0,0.590524014
17/05/1990,10.29,10.29,10.29,10.29,7.779275,0,0.976552865
18/05/1990,10.33,10.33,10.33,10.33,7.809518,0,0.388010001
21/05/1990,10.41,10.41,10.41,10.41,7.869997,0,0.771443504
22/05/1990,10.46,10.46,10.46,10.46,7.907795,0,0.479130062
23/05/1990,10.47,10.47,10.47,10.47,7.91536,0,0.09561937
